zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag_emission,hashtag_candidat,Publisher,twitch_id,twitter_pathfile,titre,list_youtube_id
KBD8S87C,,,2022-02-12,radioBroadcast,L'invité de 7h50 : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'invité de 7h50,,#LaMatinale|#FranceInter|#2022NDA|#Présidentielle2022,,France Inter,,,linvitéde7h50dupontaignan,
IJEVHLIA,,,2022-02-13,tvBroadcast,Partie de campagne : Zemmour,"Zemmour, Eric",Partie de campagne,,#PartieDeCampagne (spécifique) #Le20h (partagé),#Zemmour|#ZOZZ|#Zemmour2022|#ZemmourTF1|#DebatZemmourMacron,TF1,,,partiedecampagnezemmour,
5HKTXKA9,2022-02-15 00:00:00,20h22 sur Twitch,2022-02-15,tvBroadcast,20h22 sur Twitch : Pécresse,"Pécresse, Valérie",20h22 sur Twitch,https://www.twitch.tv/videos/1299032652,,,Twitch,a70366ed-d567-42e2-8121-c2b959abf8df,,20h22surtwitchpécresse,
8S56XA7Z,,,2022-02-15,tvBroadcast,"2022, le compte à rebours: Pécresse","Pécresse, Valérie",le compte à rebours,https://www.youtube.com/watch?v=4WW3YziSJfY,#20h22|#Le20h|#JT20H,#Pécresse|#Pécresse2022,France 2,,,2022lecompteàrebourspécresse,
SPXMJZSE,,,2022-02-15,tvBroadcast,20h22 : Pécresse,"Pécresse, Valérie",20h22,,#20h22|(spécifique) #Le20h|#JT20H|(génériques),,France 2,,,20h22pécresse,
5GYXHTWY,,,2022-02-20,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Poutou,"Poutou, Philippe",L'interview face cachée,https://youtu.be/GSUmEZPmNPg,,,Youtube [HugoDécrypte],,,linterviewfacecachéeprésidentielle2022poutou,1dbabedf-b7d6-43bb-8307-e12dfbf1519c
AP3R24G5,,,2022-02-20,tvBroadcast,Le Grand RDV : Zemmour,"Zemmour, Eric",Le Grand RDV,,#Europe1|#LeGrandRDV|#LeGrandrendezvous|#cnews,#Zemmour|#ZoZZ|#EricZemmour|#Zemmour2emeTour,Europe 1/Cnews,,,legrandrdvzemmour,
CVABTX3S,,,2022-02-20,radioBroadcast,Questions politiques : Le Pen,"Le Pen, Marine",Questions politiques,,#QuestionsPol,#MarinePresidente|#LePen|#MLaFrance,France Inter/France Info,,,questionspolitiqueslepen,a2a52b01-7419-4791-9d3e-8a72b2de8adb
U2B9YG5R,,,2022-02-22,radioBroadcast,Face au 7/9 : Pécresse,"Pécresse, Valérie",Face au 7/9,,#le79inter|#Elysee2022,#pecresse|#pecresse2022,France Inter,,,faceau79pécresse,8ff078d3-7f59-454d-84ae-9a636de44b27
MT24BFDY,,,2022-02-22,tvBroadcast,Live Instagram TF1 et 20 mn : Zemmour,"Zemmour, Eric",Live Instagram TF1 et 20 mn,,,,Instagram,,,liveinstagramtf1et20mnzemmour,
6BXTETBD,,,2022-02-28,radioBroadcast,L'invité de 7h50 : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'invité de 7h50,,#le79inter,#DupontAignan,France Inter,,,linvitéde7h50dupontaignan,
CYUM9NK8,,,2022-03-03,tvBroadcast,Elysée 2022 : Le Pen,"Le Pen, Marine",Elysée 2022,,#Elysée2022|#Elysee2022|#presidentielle2022,#MarinePresidente|#LePen|#MLaFrance,France 2,,,elysée2022lepen,
GX2FNMPU,,,2022-03-05,tvBroadcast,Carnets de campagne - l'invité : Dupont-Aignan,"Dupont-Aignan, Nicolas",Carnets de campagne - l'invité,,,,TF1,,,carnetsdecampagnelinvitédupontaignan,
LY867F3U,,,2022-03-08,tvBroadcast,Bonjour Chez vous : Arthaud,"Arthaud, Nathalie",Bonjour Chez vous,,|#BonjourChezVous|#BCVO,#Arthaud,Public Sénat,,,bonjourchezvousarthaud,
WBFPVW36,,,2022-03-08,tvBroadcast,Bonjour Chez vous : Lassalle,"Lassalle, Jean",Bonjour Chez vous,,#BonjourChezVous|#BCVO,#JeanLassalle2022|#LaFranceAuthentique,Public Sénat,,,bonjourchezvouslassalle,
7HEI7CH4,,,2022-03-08,tvBroadcast,"Elysée 2022, demandez le programme : Roussel","Roussel, Fabien","Elysée 2022, demandez le programme",,#Demandezleprogramme,#Roussel2022,CNEWS,,,elysée2022demandezleprogrammeroussel,
NH8DEHM2,,,2022-03-08,tvBroadcast,L'interview Apolline Matin : Zemmour,"Zemmour, Eric",Apolline Matin,,#ApollineMatin|#8mars|#RMC|#BFM|#Journeedelafemme,#ZemmourPresident|#ZOZZ,RMC/BFMTV,,,linterviewapollinematinzemmour,841be298-6c75-441c-b226-4ed8877a2d68
HYUDPG33,,,2022-03-09,tvBroadcast,Bonjour Chez vous : Dupont-Aignan,"Dupont-Aignan, Nicolas",Bonjour Chez vous,,#BonjourChezVous|#BCVO,#2022NDA,Public Sénat,,,bonjourchezvousdupontaignan,
NPFFVT8E,,,2022-03-09,tvBroadcast,L'interview Apolline Matin : Pécresse,"Pécresse, Valérie",Apolline Matin,,#Pécresse2022|#Apollinematin|#RMC|#BFMTV|,,RMC/BFMTV,,,linterviewapollinematinpécresse,
NAWKZNR9,,,2022-03-09,tvBroadcast,Les 4V : Le Pen,"Le Pen, Marine",Les 4V,,#Les4V,#MarinePresidente|#Mlafrance|#Lepen,France 2,,,les4vlepen,
CVM6LE9I,,,2022-03-10,radioBroadcast,Europe Matin : Jadot,"Jadot, Yannick",Europe Matin,,#Europe1,#Jadot2022,Europe 1,,,europematinjadot,
Q645QKKU,,,2022-03-10,tvBroadcast,"Face à Face : (multiple) Pécresse, Zemmour","Pécresse, Valérie; Zemmour, Eric",Face à Face,,#FaceaFaceTF1LCI ,#ZemmourVsPecresse|#PecresseNaufrage|#ZemmourPresident|#ValeriePresidente ,LCI,,,faceàfacemultiplepécressezemmour,8839978e-6591-4172-ae5b-0fe8767690ad
K2A2YAXX,,,2022-03-10,radioBroadcast,L'invité de 7h50 : Hidalgo,"Hidalgo, Anne",L'invité de 7h50,,#le79inter,#Hidalgo2022,France Inter,,,linvitéde7h50hidalgo,8744033a-5a08-47c0-9374-bfcd444fa8b7
IZ9VHRBG,,,2022-03-10,radioBroadcast,Les Grandes Gueules : Mélenchon,"Mélenchon, Jean-Luc",Les Grandes Gueules,,#GGRMC,#UnionPopulaire|#Melenchon2022,RMC,,,lesgrandesgueulesmélenchon,
Y8SV3BXR,,,2022-03-12,radioBroadcast,L'invité de 7h50 : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'invité de 7h50,,,,France Inter,,,linvitéde7h50dupontaignan,1f23f689-aa8e-4e9e-9162-1931f5fcc064
6FRL4BAA,2022-03-13 00:00:00,Le débat du siècle,2022-03-13,tvBroadcast,"Le débat du siècle: Jadot, Roussel, Hidalgo, Poutou, Pécresse","Jadot, Yannick; Roussel, Fabien; Hidalgo, Anne; Poutou, Philippe; Pécresse, Valérie",Le débat du siècle,https://www.youtube.com/watch?v=1-28-grEZjk,#DebatduSiècle,,Twitch,f1af1d00-e3dd-4bbb-b12f-36cf7c7e8ba8,files/twitter/2022-03-13-debatdusiecle.xlsx,ledébatdusièclejadotrousselhidalgopoutoupécresse,b1e7d68f-1c52-49ec-b303-5ed9abef3bda|8e9b8c89-50b5-4399-914d-6d61fdc5bf0f|555f9fcd-7645-4ba4-ba1f-26dfee0ce629|119866b7-eff1-455e-9ecd-9b252d6da1b3|cee9a6c8-c8ad-4ae8-9340-026d98059965
7CKKZMZH,,,2022-03-13,tvBroadcast,Le Grand RDV : Pécresse,"Pécresse, Valérie",Le Grand RDV,,#Pécresse2022 #LeGrandRDV,,Europe 1/Cnews,,,legrandrdvpécresse,
WJS89VWV,,,2022-03-14,tvBroadcast,La France face à la guerre,"Hidalgo, Anne; Jadot, Yannick; Le Pen, Marine; Macron, Emmanuel; Mélenchon, Jean-Luc; Pécresse, Valérie; Roussel, Fabien; Zemmour, Eric",La France face à la guerre,,,,TF1,,files/twitter/2022-03-14-facealaguerre.xlsx,lafrancefaceàlaguerre,c14f92b7-1c01-4b7c-99ae-58b418195890|18871ce1-b04c-4ba2-bad6-b342b2af65bf|3face13b-60f2-4a9a-b79f-a4bc381dd789|202454c4-bf03-470e-8548-1e2b6438e13e|f8410419-5cde-496e-bcc8-c7822c66eb1b
